Complexity metrics,ÖÜÈý, 20 3ÔÂ 2024 15:11:43 CST
Method,CogC,ev(G),iv(G),v(G)
Formula.Formula(),0,1,1,1
Formula.Formula(String),2,1,3,3
Formula.add(Formula),4,1,4,5
Formula.mult(Formula),4,1,4,4
Formula.pow(Formula),4,1,3,3
Formula.sub(Formula),4,1,4,5
Formula.toString(),21,4,9,10
Lexer.Lexer(String),0,1,1,1
Lexer.getNumber(),2,1,3,3
Lexer.next(),5,2,4,10
Lexer.peek(),0,1,1,1
MainClass.main(String[]),0,1,1,1
Parser.Parser(Lexer),0,1,1,1
Parser.parseBasic(),1,1,2,2
Parser.parseExpr(),2,1,3,3
Parser.parseFactor(),3,3,3,3
Parser.parseTerm(),1,1,2,2
Processor.Processor(),0,1,1,1
Processor.addZero(String),2,1,2,3
Processor.adjust(String),7,4,4,4
Processor.delForAdd(String),1,1,2,2
Processor.delForwardZero(String),0,1,1,1
Processor.mergeAddAndSub(String),13,1,1,7
Processor.process(String),0,1,1,1
Simplifier.Simplifier(),0,1,1,1
Simplifier.getListString(String),1,1,2,2
Simplifier.simplify(Expr),10,1,7,7
expr.Basic.Basic(),0,1,1,1
expr.Basic.addFactor(Factor),0,1,1,1
expr.Basic.toString(),1,1,2,2
expr.Expr.Expr(),0,1,1,1
"expr.Expr.addTerm(Term, String)",0,1,1,1
expr.Expr.toString(),1,1,2,2
expr.Number.Number(BigInteger),0,1,1,1
expr.Number.toString(),0,1,1,1
expr.Term.Term(),0,1,1,1
expr.Term.addBasic(Basic),0,1,1,1
expr.Term.toString(),1,1,2,2
expr.Variable.Variable(String),0,1,1,1
expr.Variable.toString(),0,1,1,1

Class,OCavg,OCmax,WMC
Formula,4.14,10,29
Lexer,2.25,5,9
MainClass,1.00,1,1
Parser,2.00,3,10
Processor,2.29,5,16
Simplifier,3.33,7,10
expr.Basic,1.33,2,4
expr.Expr,1.33,2,4
expr.Number,1.00,1,2
expr.Term,1.33,2,4
expr.Variable,1.00,1,2

Package,v(G)avg,v(G)tot
,3.22,87
expr,1.23,16

Module,v(G)avg,v(G)tot
advance,2.58,103

Project,v(G)avg,v(G)tot
project,2.58,103

